,timestamp,memory_bytes,cpu_utilization,memory_utilization,db_cpu,db_memory,db_connections
0,2025-12-31 09:55:00,,,,0.2067010468122576,0.3907773639336685,1.0
1,2025-12-31 10:00:00,,,,0.09571910266636867,0.24997335304377968,0.55
2,2025-12-31 10:05:00,,,,0.043714233402649905,0.24754952598302365,0.5
3,2025-12-31 10:10:00,,,,0.04264130926781827,0.24581921708752255,0.5
4,2025-12-31 10:15:00,,,,0.04569500638651166,0.24573255222056306,0.5
5,2025-12-31 10:20:00,,,,0.04610378676851812,0.24969981083151455,0.5
6,2025-12-31 10:25:00,,,,0.045240264651363805,0.24965617955366595,0.5
7,2025-12-31 10:30:00,,,,0.044907065314638187,0.25116374977960226,0.55
8,2025-12-31 10:35:00,,,,0.04432247117870171,0.2518176212585931,0.5
9,2025-12-31 10:40:00,,,,0.04472967229669692,0.2515542397548679,0.5
10,2025-12-31 10:45:00,,,,0.044545438157694114,0.25118526657415774,0.5
11,2025-12-31 10:50:00,193837738.66666666,0.06403621406212905,0.09026273091634114,0.04394202319708943,0.2524147123075069,0.5
12,2025-12-31 10:55:00,197719808.0,0.501927772575636,0.23945856094360352,0.05627939608357844,0.2564881602841811,0.9
13,2025-12-31 11:00:00,203671313.0666667,0.37741852943414433,0.2949103673299154,0.05738050145527358,0.2602418447862117,0.9
14,2025-12-31 11:05:00,78437908.48,0.018701520421530244,0.12803851536342076,0.047781762810678766,0.24829803151214253,0.5
15,2025-12-31 11:10:00,95699968.0,0.008447642635689128,0.05032157897949219,0.04702459899939958,0.24535640677500106,0.5
16,2025-12-31 11:15:00,93445529.6,0.007426873559185424,0.04926891326904297,0.046407327304268435,0.24668267808384975,0.5
17,2025-12-31 11:20:00,99600179.2,0.01460062438978266,0.052132034301757814,0.04677171577637647,0.24598716762280262,0.5
18,2025-12-31 11:25:00,102008627.2,0.00451844971917156,0.053252124786376955,0.046711607435116494,0.24582001400583944,0.5
19,2025-12-31 11:30:00,102008422.4,0.0046564808253784255,0.053252029418945315,0.04760721323972632,0.24633741322306638,0.5
20,2025-12-31 11:35:00,102008422.4,0.004426041053681137,0.053252029418945315,0.046825074337446135,0.24694506343967876,0.5
21,2025-12-31 11:40:00,102008832.0,0.004485558498278515,0.053252220153808594,0.04666866271825644,0.2466079669916433,0.5
22,2025-12-31 11:45:00,102008627.2,0.004525727963297779,0.053252124786376955,0.04628980808904714,0.24716082907397094,0.5
23,2025-12-31 11:50:00,102008422.4,0.004616397605155236,0.053252029418945315,0.04748096178680953,0.247544346013964,0.5
24,2025-12-31 11:55:00,102008012.8,0.004928379920187883,0.05325183868408203,0.04801856220651113,0.24781768899664997,0.5
25,2025-12-31 12:00:00,102008422.4,0.004498507116981107,0.053252029418945315,0.04793518736785368,0.24828089776832987,0.5
26,2025-12-31 12:05:00,102008422.4,0.005481582405024811,0.053252029418945315,0.04801189688344901,0.24687055157705157,0.5
27,2025-12-31 12:10:00,102008217.6,0.006275640581489412,0.05325193405151367,0.04829604214650241,0.24712815542297933,0.5
28,2025-12-31 12:15:00,102008627.2,0.005120117089845455,0.053252124786376955,0.047053700448783306,0.24617922493716798,0.5
29,2025-12-31 12:20:00,102008217.6,0.005256782977313914,0.05325193405151367,0.04785707545007426,0.24748378022188197,0.5
30,2025-12-31 12:25:00,102008217.6,0.005076140028237588,0.05325193405151367,0.0488625711724643,0.24696159949475377,0.5
31,2025-12-31 12:30:00,102008832.0,0.004956029851711506,0.0532536506652832,0.04664516591149066,0.24656692569832458,0.5
32,2025-12-31 12:35:00,102008627.2,0.004972340874636127,0.053252124786376955,0.04632268825516206,0.24683688177816382,0.5
33,2025-12-31 12:40:00,102008422.39999999,0.004986936756604762,0.05325345993041992,0.048867851262881935,0.24729232059625428,0.5
34,2025-12-31 12:45:00,102008627.2,0.004779415145278292,0.053252124786376955,0.04748558252022851,0.247133335392039,0.5
35,2025-12-31 12:50:00,102008217.6,0.004873201395125597,0.05325193405151367,0.04553974898381228,0.24715823908944112,0.5
36,2025-12-31 12:55:00,102008627.2,0.004667066750169226,0.053252124786376955,0.047124786108382756,0.24722557868721654,0.5
37,2025-12-31 13:00:00,102008627.2,0.004529170031612692,0.053252124786376955,0.046304766892748914,0.24805895601708192,0.5
38,2025-12-31 13:05:00,102008832.0,0.004637296737295201,0.053252220153808594,0.04628919072053804,0.24750330472064527,0.5
39,2025-12-31 13:10:00,102008627.2,0.004816864518905607,0.053252124786376955,0.04700058023514279,0.24799978483205445,0.5
40,2025-12-31 13:15:00,102008627.2,0.0049134492964621225,0.053252124786376955,0.04584139694635098,0.2471243700609742,0.5
41,2025-12-31 13:20:00,102008627.2,0.0049571504608141494,0.053252124786376955,0.04621368789697802,0.2477927852992478,0.5
42,2025-12-31 13:25:00,102008832.0,0.004724544059307138,0.053252220153808594,0.046534529685728784,0.24788064554368255,0.5
43,2025-12-31 13:30:00,102008627.2,0.004848444853802543,0.053252124786376955,0.046410331983391874,0.2475584913140884,0.5
44,2025-12-31 13:35:00,102008832.0,0.005327023393453926,0.05325508117675781,0.045658283862495826,0.24819323675347432,0.5
45,2025-12-31 13:40:00,102008012.8,0.005162065622383284,0.05325326919555664,0.04758670460328498,0.24781689207833307,0.5
46,2025-12-31 13:45:00,102008422.4,0.0045950419017558594,0.053252029418945315,0.047178396329538255,0.24940136492184722,0.5
47,2025-12-31 13:50:00,102008832.0,0.00453255470749717,0.053252220153808594,0.0473253466436385,0.24841876463714815,0.5
